iter	RMSE
0	0.3760986378
1	0.3638015055
2	0.3521458094
3	0.3419361348
4	0.331064259
5	0.3207449445
6	0.3116880853
7	0.3027621472
8	0.2947219106
9	0.2861330875
10	0.2773237347
11	0.2693769808
12	0.2616065736
13	0.255011262
14	0.248501907
15	0.2421123117
16	0.2359724258
17	0.2304401547
18	0.225272541
19	0.2201750023
20	0.2151955048
21	0.209969825
22	0.205734228
23	0.2012861373
24	0.1968843055
25	0.1927327
26	0.188949478
27	0.1851629168
28	0.1821861252
29	0.1795541709
30	0.1760776141
31	0.1733270234
32	0.170326101
33	0.1677190945
34	0.1648227887
35	0.1618615435
36	0.1594231072
37	0.1570655864
38	0.1549341446
39	0.1526599353
40	0.1508242932
41	0.1487604949
42	0.1467906567
43	0.1448619528
44	0.142926902
45	0.1413838289
46	0.1398229637
47	0.1382068165
48	0.1364960336
49	0.1351503333
50	0.1338812135
51	0.1324121344
52	0.1311516201
53	0.1298903601
54	0.1286170441
55	0.1274202224
56	0.1262130624
57	0.1252566227
58	0.1243012154
59	0.123312495
60	0.1223412707
61	0.1215656908
62	0.1207253096
63	0.1197966025
64	0.1188869245
65	0.1179286415
66	0.1171945539
67	0.1164947131
68	0.1156195618
69	0.1149459923
70	0.1142573989
71	0.1136988423
72	0.1130623429
73	0.1125296341
74	0.1119524478
75	0.1112499018
76	0.1107495875
77	0.1101185037
78	0.1095284346
79	0.1090452294
80	0.1084748838
81	0.1080406476
82	0.1076151251
83	0.1070166683
84	0.1065085514
85	0.1060457121
86	0.1055696105
87	0.1051141768
88	0.1046883895
89	0.1042844673
90	0.1037825231
91	0.1033462838
92	0.1028471599
93	0.1024549325
94	0.1019480611
95	0.1015767816
96	0.1012455128
97	0.1008480403
98	0.1005691838
99	0.100234954
100	0.09970709191
101	0.09934950446
102	0.09894696201
103	0.09862683184
104	0.09828924693
105	0.09800543055
106	0.09760347062
107	0.09728718329
108	0.09694060078
109	0.09661369591
110	0.09635262183
111	0.09615158102
112	0.09589720799
113	0.09558177814
114	0.09527991034
115	0.09488522386
116	0.09456271823
117	0.09425403439
118	0.09402986093
119	0.09373684409
120	0.09341509574
121	0.09311773779
122	0.09282785402
123	0.09255356092
124	0.09221549544
125	0.09199174294
126	0.09170717508
127	0.09143715078
128	0.0910601503
129	0.0909197348
130	0.09075177641
131	0.09052883366
132	0.09032105838
133	0.09012269308
134	0.08985808083
135	0.08962288551
136	0.08934140033
137	0.08887151789
138	0.08859899486
139	0.08838231412
140	0.08805499517
141	0.0878091029
142	0.08770594666
143	0.08742748529
144	0.08714103196
145	0.08691787797
146	0.0866809175
147	0.08640827932
148	0.08623424179
149	0.08607045932
150	0.08591441049
151	0.08568282665
152	0.08547831514
153	0.08522199281
154	0.08502773724
155	0.08477188751
156	0.08452794084
157	0.08432431001
158	0.08421304965
159	0.08402340524
160	0.08377996706
161	0.08373937578
162	0.08366440954
163	0.08341054563
164	0.08322510217
165	0.0829954789
166	0.08270535702
167	0.08266683599
168	0.08241061107
169	0.0822136677
170	0.08207421184
171	0.08183868062
172	0.08159825078
173	0.08144689584
174	0.08127856353
175	0.08114274381
176	0.08100801392
177	0.08087011256
178	0.08077309321
179	0.08053067809
180	0.08037579151
181	0.08021460403
182	0.08010688017
183	0.07990403294
184	0.07964343873
185	0.07943605769
186	0.07938995676
187	0.07923764951
188	0.07907974666
189	0.07880125796
190	0.07858881801
191	0.07843664196
192	0.07824492726
193	0.078036697
194	0.077899803
195	0.07770568394
196	0.07750412978
197	0.07735025207
198	0.07712989473
199	0.07707960588
200	0.07703890336
201	0.07677958823
202	0.07665215567
203	0.07661686087
204	0.07648813867
205	0.07645168431
206	0.07631254129
207	0.0760702352
208	0.07588940344
209	0.07572001444
210	0.07556478813
211	0.07552774989
212	0.0754925401
213	0.07525852717
214	0.07508815561
215	0.07489712862
216	0.07478659182
217	0.07460699074
218	0.07445193318
219	0.0742673541
220	0.07401612975
221	0.07398352727
222	0.07376571846
223	0.07362582974
224	0.07360161098
225	0.07337149762
226	0.07320597366
227	0.07305167373
228	0.07293123404
229	0.07275832699
230	0.07263143912
231	0.07251835325
232	0.07241665606
233	0.07223895102
234	0.07206230712
235	0.07195071778
236	0.07178242342
237	0.07160768526
238	0.07140978396
239	0.07127395434
